id;text;type;startTime;endTime;incident_ID
2feec9ec-c192-48c6-8971-e3c4838cb891;Incident Reporting;chevron;2023-03-20T04:53:20.723Z;2023-04-30T04:53:20.723Z;9cf360ec-2dc5-40b9-b782-4b8a8b488dad
2feec9ec-c192-48c6-8971-e3c4838cb892;Incident Record Review;chevron;2023-01-01T10:00:00.723Z;2023-01-31T10:00:00.723Z;9cf360ec-2dc5-40b9-b782-4b8a8b488dad
2feec9ec-c192-48c6-8971-e3c4838cb893;Incident Investigation;chevron;2023-02-01T10:00:00.723Z;2023-02-28T10:00:00.723Z;9cf360ec-2dc5-40b9-b782-4b8a8b488dad
2feec9ec-c192-48c6-8971-e3c4838cb894;Incident Report Generation;chevron;2023-03-01T10:00:00.723Z;2023-03-30T10:00:00.723Z;9cf360ec-2dc5-40b9-b782-4b8a8b488dad
2feec9ec-c192-48c6-8971-e3c4838cb991;Incident Reporting;chevron;2023-03-20T04:53:20.723Z;2023-04-30T04:53:20.723Z;1df360ec-2dc5-40b9-b782-4b8a8b488dad
2feec9ec-c192-48c6-8971-e3c4838cb992;Incident Record Review;chevron;2023-01-01T10:00:00.723Z;2023-01-31T10:00:00.723Z;1df360ec-2dc5-40b9-b782-4b8a8b488dad
2feec9ec-c192-48c6-8971-e3c4838cb993;Incident Investigation;chevron;2023-02-01T10:00:00.723Z;2023-02-28T10:00:00.723Z;1df360ec-2dc5-40b9-b782-4b8a8b488dad
2feec9ec-c192-48c6-8971-e3c4838cb994;Incident Report Generation;chevron;2023-03-01T10:00:00.723Z;2023-03-30T10:00:00.723Z;1df360ec-2dc5-40b9-b782-4b8a8b488dad
3feec9ec-c192-48c6-8971-e3c4838cb991;Incident Reporting;chevron;2023-03-20T04:53:20.723Z;2023-04-30T04:53:20.723Z;2df360ec-2dc5-40b9-b782-4b8a8b488dad
3feec9ec-c192-48c6-8971-e3c4838cb992;Incident Record Review;chevron;2023-01-01T10:00:00.723Z;2023-01-31T10:00:00.723Z;2df360ec-2dc5-40b9-b782-4b8a8b488dad
3feec9ec-c192-48c6-8971-e3c4838cb993;Incident Investigation;chevron;2023-02-01T10:00:00.723Z;2023-02-28T10:00:00.723Z;2df360ec-2dc5-40b9-b782-4b8a8b488dad
3feec9ec-c192-48c6-8971-e3c4838cb994;Incident Report Generation;chevron;2023-03-01T10:00:00.723Z;2023-03-30T10:00:00.723Z;2df360ec-2dc5-40b9-b782-4b8a8b488dad
